project,repo_url,bug_commit_hash,bug_file_path,fix_commit_hash,method_name,method_signature,loc,cyclomatic_complexity,halstead_volume,maintainability_index
traccar-traccar,https://github.com/traccar/traccar.git,2ed386ecd1fa6b51cf3115fe6fe4626ebfceea31,src/main/java/org/traccar/protocol/Gt06ProtocolDecoder.java,046076aeb6f0c79bb59ef9aead4ebbc23e286c63,decodeBasic,"private ReferenceType(arguments=None, dimensions=[], name=Object, sub_type=None) decodeBasic(ReferenceType(arguments=None, dimensions=[], name=Channel, sub_type=None) channel, ReferenceType(arguments=None, dimensions=[], name=SocketAddress, sub_type=None) remoteAddress, ReferenceType(arguments=None, dimensions=[], name=ByteBuf, sub_type=None) buf)",416,101,14548.26,22.4
traccar-traccar,https://github.com/traccar/traccar.git,85501f9cf4918d5eee345f83aed7a31eecb26b8d,src/main/java/org/traccar/protocol/Gt06ProtocolDecoder.java,9ff9bd75fff98cc46395bfa870ba0c1f7ab34d87,hasStatus,"static private BasicType(dimensions=[], name=boolean) hasStatus(BasicType(dimensions=[], name=int) type)",14,2,77.71,105.45
traccar-traccar,https://github.com/traccar/traccar.git,0ec73ae585b66a455f7e43ef6d60f41cde6cf960,src/main/java/org/traccar/protocol/WatchProtocolDecoder.java,b77131f4be38295cb643e343613597a6d1ec6562,decode,"protected ReferenceType(arguments=None, dimensions=[], name=Object, sub_type=None) decode(ReferenceType(arguments=None, dimensions=[], name=Channel, sub_type=None) channel, ReferenceType(arguments=None, dimensions=[], name=SocketAddress, sub_type=None) remoteAddress, ReferenceType(arguments=None, dimensions=[], name=Object, sub_type=None) msg)",127,35,3667.0,49.03
traccar-traccar,https://github.com/traccar/traccar.git,b77131f4be38295cb643e343613597a6d1ec6562,src/main/java/org/traccar/protocol/GalileoProtocolDecoder.java,4722f9b6b6489ea7e9dea0c01ae1d7d3044310b5,decodeIridiumPosition,"private ReferenceType(arguments=None, dimensions=[], name=Position, sub_type=None) decodeIridiumPosition(ReferenceType(arguments=None, dimensions=[], name=Channel, sub_type=None) channel, ReferenceType(arguments=None, dimensions=[], name=SocketAddress, sub_type=None) remoteAddress, ReferenceType(arguments=None, dimensions=[], name=ByteBuf, sub_type=None) buf)",19,2,277.43,93.89
traccar-traccar,https://github.com/traccar/traccar.git,4722f9b6b6489ea7e9dea0c01ae1d7d3044310b5,src/main/java/org/traccar/protocol/WatchProtocolDecoder.java,3771dd156efb068b2f6ba586ec5b951985c40cc5,decodePosition,"private ReferenceType(arguments=None, dimensions=[], name=Position, sub_type=None) decodePosition(ReferenceType(arguments=None, dimensions=[], name=DeviceSession, sub_type=None) deviceSession, ReferenceType(arguments=None, dimensions=[], name=String, sub_type=None) data)",58,16,1895.62,65.34
traccar-traccar,https://github.com/traccar/traccar.git,3ba077b0002481bf262a59ff2ad266b04a07c589,src/main/java/org/traccar/protocol/TramigoFrameDecoder.java,514582dd83c4520948c03eb3fc84444e0d7f5a49,decode,"protected ReferenceType(arguments=None, dimensions=[], name=Object, sub_type=None) decode(ReferenceType(arguments=None, dimensions=[], name=ChannelHandlerContext, sub_type=None) ctx, ReferenceType(arguments=None, dimensions=[], name=Channel, sub_type=None) channel, ReferenceType(arguments=None, dimensions=[], name=ByteBuf, sub_type=None) buf)",15,4,197.15,99.33
traccar-traccar,https://github.com/traccar/traccar.git,02d073d6900c401f83493380df3093d72f4d5cf2,src/main/java/org/traccar/protocol/MeitrackProtocolDecoder.java,33af2928a581eba6a1ba580b5da051612c7b7860,decode,"protected ReferenceType(arguments=None, dimensions=[], name=Object, sub_type=None) decode(ReferenceType(arguments=None, dimensions=[], name=Channel, sub_type=None) channel, ReferenceType(arguments=None, dimensions=[], name=SocketAddress, sub_type=None) remoteAddress, ReferenceType(arguments=None, dimensions=[], name=Object, sub_type=None) msg)",56,6,1638.98,66.89
traccar-traccar,https://github.com/traccar/traccar.git,33af2928a581eba6a1ba580b5da051612c7b7860,src/main/java/org/traccar/protocol/TramigoProtocolDecoder.java,782fd787d14bd041c818e25b06f5ebe844854163,decode04,"private ReferenceType(arguments=None, dimensions=[], name=Position, sub_type=None) decode04(ReferenceType(arguments=None, dimensions=[], name=Channel, sub_type=None) channel, ReferenceType(arguments=None, dimensions=[], name=SocketAddress, sub_type=None) remoteAddress, ReferenceType(arguments=None, dimensions=[], name=ByteBuf, sub_type=None) buf)",69,5,1424.65,64.28
traccar-traccar,https://github.com/traccar/traccar.git,9ceecf357132989390e8bb18160338b27539eaaa,src/main/java/org/traccar/protocol/TotemProtocolDecoder.java,a722658e5a3c2c15ceffa51a80b63bda758264bd,decodeObd,"private ReferenceType(arguments=None, dimensions=[], name=Position, sub_type=None) decodeObd(ReferenceType(arguments=None, dimensions=[], name=Channel, sub_type=None) channel, ReferenceType(arguments=None, dimensions=[], name=SocketAddress, sub_type=None) remoteAddress, ReferenceType(arguments=None, dimensions=[], name=String, sub_type=None) sentence)",30,3,688.77,81.67
traccar-traccar,https://github.com/traccar/traccar.git,754ff3a85baf2faaa1b962f16f52ebd0e12e6436,src/main/java/org/traccar/protocol/MeitrackProtocolDecoder.java,392f00082faff72c9948ed569e4c883a5fabe7d6,decodeBinaryE,"private ReferenceType(arguments=[TypeArgument(pattern_type=None, type=ReferenceType(arguments=None, dimensions=[], name=Position, sub_type=None))], dimensions=[], name=List, sub_type=None) decodeBinaryE(ReferenceType(arguments=None, dimensions=[], name=Channel, sub_type=None) channel, ReferenceType(arguments=None, dimensions=[], name=SocketAddress, sub_type=None) remoteAddress, ReferenceType(arguments=None, dimensions=[], name=ByteBuf, sub_type=None) buf)",172,15,3208.13,45.01
