project,repo_url,bug_commit_hash,bug_file_path,fix_commit_hash,method_name,method_signature,loc,cyclomatic_complexity,halstead_volume,maintainability_index
traccar-traccar,https://github.com/traccar/traccar.git,03650fff8064b60ffcda75f9033fd44e66ef34b3,src/main/java/org/traccar/protocol/HuabaoProtocolDecoder.java,4a64ef748e207406be4f7aa7538d59b7b0f9735c,decodeLocation,"private ReferenceType(arguments=None, dimensions=[], name=Position, sub_type=None) decodeLocation(ReferenceType(arguments=None, dimensions=[], name=DeviceSession, sub_type=None) deviceSession, ReferenceType(arguments=None, dimensions=[], name=ByteBuf, sub_type=None) buf)",295,25,6750.84,32.28
BrightSpots-rcv,https://github.com/BrightSpots/rcv.git,833ebaf06efe617091a4d5b9a2812aaae8dc73c8,src/main/java/network/brightspots/rcv/ResultsWriter.java,c80e6272c83a67999bce67e3a5c9b5a9120fe2c2,generateSummarySpreadsheet,"private generateSummarySpreadsheet(ReferenceType(arguments=[TypeArgument(pattern_type=None, type=ReferenceType(arguments=None, dimensions=[], name=Integer, sub_type=None)), TypeArgument(pattern_type=None, type=ReferenceType(arguments=None, dimensions=[], name=RoundTally, sub_type=None))], dimensions=[], name=Map, sub_type=None) roundTallies, ReferenceType(arguments=None, dimensions=[], name=String, sub_type=None) precinct, ReferenceType(arguments=None, dimensions=[], name=String, sub_type=None) outputPath)",135,22,3299.03,48.7
GoSimpleLLC-nbvcxz,https://github.com/GoSimpleLLC/nbvcxz.git,122c97d9eb71575bd12cf5c22e2ccd70ce826e62,src/main/java/me/gosimple/nbvcxz/matching/DictionaryMatcher.java,ee8d5c62f4fbba1b975a1e8675abb5dff3ef4cb6,match,"public ReferenceType(arguments=[TypeArgument(pattern_type=None, type=ReferenceType(arguments=None, dimensions=[], name=Match, sub_type=None))], dimensions=[], name=List, sub_type=None) match(ReferenceType(arguments=None, dimensions=[], name=Configuration, sub_type=None) configuration, ReferenceType(arguments=None, dimensions=[], name=String, sub_type=None) password)",109,21,2288.27,54.08
snowflakedb-snowflake-jdbc,https://github.com/snowflakedb/snowflake-jdbc.git,832de67a1eec16a61df4ab1efcc6e3658d5a038a,src/main/java/net/snowflake/client/jdbc/SnowflakeFileTransferAgent.java,15a45aca6bcd42e354ee6cb6ccd822b75647351d,parseCommand,private parseCommand(),104,19,2356.45,54.71
semver4j-semver4j,https://github.com/semver4j/semver4j.git,48ffbfd1f66c78c43599e64ac3068038caba1766,src/main/java/org/semver4j/internal/range/processor/XRangeProcessor.java,beb7e5d466c708721740f6fe99ca33ca9f4ed9ea,process,"public ReferenceType(arguments=None, dimensions=[], name=String, sub_type=None) process(ReferenceType(arguments=None, dimensions=[], name=String, sub_type=None) range)",59,15,1329.48,66.92
spring-projects-spring-retry,https://github.com/spring-projects/spring-retry.git,cfa5550e9cce149a569ad71eeeec374f36137a9b,src/main/java/org/springframework/retry/backoff/BackOffPolicyBuilder.java,e6091f790c64394508591052f962b833e2459346,build,"public ReferenceType(arguments=None, dimensions=[], name=BackOffPolicy, sub_type=None) build()",61,24,655.39,69.95
stellar-java-stellar-sdk,https://github.com/stellar/java-stellar-sdk.git,c9b9f99677f8a9be185453a949c39893f4110247,src/main/java/org/stellar/sdk/SorobanServer.java,6e9badb007c247eebe52d564049464fb57ab3701,assembleTransaction,"private ReferenceType(arguments=None, dimensions=[], name=Transaction, sub_type=None) assembleTransaction(ReferenceType(arguments=None, dimensions=[], name=Transaction, sub_type=None) transaction, ReferenceType(arguments=None, dimensions=[], name=SimulateTransactionResponse, sub_type=None) simulateTransactionResponse)",52,7,783.02,71.89
dmak-jaxb-xew-plugin,https://github.com/dmak/jaxb-xew-plugin.git,f2320aaa24d70d087ff24edc326912ac22d1acb8,src/main/java/com/sun/tools/xjc/addon/xew/XmlElementWrapperPlugin.java,f48935133d6ad30ad31613fca3b64db50f77fd26,moveClassLevelUp,"private moveClassLevelUp(ReferenceType(arguments=None, dimensions=[], name=Outline, sub_type=None) outline, ReferenceType(arguments=None, dimensions=[], name=JDefinedClass, sub_type=None) clazz)",30,6,815.15,80.63
jhy-jsoup,https://github.com/jhy/jsoup.git,9d104b7ea2a715c62553559a9869356913eb87c1,src/main/java/org/jsoup/nodes/TextNode.java,e52224fbfe6632248cc58c593efae9a22ba2e622,outerHtmlHead,"outerHtmlHead(ReferenceType(arguments=None, dimensions=[], name=Appendable, sub_type=None) accum, BasicType(dimensions=[], name=int) depth, ReferenceType(arguments=None, dimensions=[], name=Document, sub_type=ReferenceType(arguments=None, dimensions=None, name=OutputSettings, sub_type=None)) out)",26,25,833.85,82.5
c-rack-cbor-java,https://github.com/c-rack/cbor-java.git,b010e8c62bf76b7aa3fc54fe21e78e6f8c8d403d,src/main/java/co/nstant/in/cbor/decoder/SpecialDecoder.java,cabd70d02e864354117d73d96d70ab021d748188,decode,"public ReferenceType(arguments=None, dimensions=[], name=Special, sub_type=None) decode(BasicType(dimensions=[], name=int) initialByte)",33,3,330.34,83.94
ezylang-EvalEx,https://github.com/ezylang/EvalEx.git,df8eeeb85e2402bb88784729c497d9b3cfcfa27d,src/main/java/com/ezylang/evalex/parser/Tokenizer.java,7c39c5478a3934ae862aa5d86718d7414ecb3a3c,parseNumberLiteral,"private ReferenceType(arguments=None, dimensions=[], name=Token, sub_type=None) parseNumberLiteral()",28,12,452.78,84.65
Enigmatis-graphql-java-annotations,https://github.com/Enigmatis/graphql-java-annotations.git,6d9d7a79de7b1a8f25aef7850e4666c864557ae9,src/main/java/graphql/annotations/processor/retrievers/fieldBuilders/DirectivesBuilder.java,183752ce8b9ab64dfd43b0679336b28faf7c03b9,transformArgument,"private transformArgument(ReferenceType(arguments=None, dimensions=[], name=Annotation, sub_type=None) annotation, ReferenceType(arguments=None, dimensions=[], name=GraphQLDirective, sub_type=ReferenceType(arguments=None, dimensions=None, name=Builder, sub_type=None)) directiveBuilder, ReferenceType(arguments=[TypeArgument(pattern_type=None, type=ReferenceType(arguments=None, dimensions=[], name=GraphQLArgument, sub_type=None))], dimensions=[], name=List, sub_type=None) arguments, BasicType(dimensions=[], name=int) i)",25,4,396.46,87.43
retel-io-ari-proxy,https://github.com/retel-io/ari-proxy.git,f9fde350e2b08bd2ae7e40d07bd6449c434a78cd,src/main/java/io/retel/ariproxy/boundary/commandsandresponses/AriCommandResponseProcessing.java,610e9b6725e1aab80abb5866a07d50aabc4e8874,registerCallContext,"static public ReferenceType(arguments=[TypeArgument(pattern_type=None, type=ReferenceType(arguments=None, dimensions=[], name=Done, sub_type=None))], dimensions=[], name=Try, sub_type=None) registerCallContext(ReferenceType(arguments=[TypeArgument(pattern_type=None, type=ReferenceType(arguments=None, dimensions=[], name=CallContextProviderMessage, sub_type=None))], dimensions=[], name=ActorRef, sub_type=None) callContextProvider, ReferenceType(arguments=None, dimensions=[], name=String, sub_type=None) callContext, ReferenceType(arguments=None, dimensions=[], name=AriCommand, sub_type=None) ariCommand)",22,3,340.6,90.35
w3c-epubcheck,https://github.com/w3c/epubcheck.git,da643e4010befdc6ba1fd8cf4bff5e8cee912bc5,src/main/java/org/w3c/epubcheck/core/references/ResourceReferencesChecker.java,7804c78a53f25d98de9457e12d2bdbd4b40e682b,checkReference,"private checkReference(ReferenceType(arguments=None, dimensions=[], name=Reference, sub_type=None) reference)",22,4,262.33,91.64
slub-urnlib,https://github.com/slub/urnlib.git,b80e5e252a53248c8db0d042fce90065eede0ab0,src/main/java/de/slub/urn/RQF_RFC8141.java,106be8d1b8047f93a715edc03fdc1b17c3aacc4b,initialToString,"private ReferenceType(arguments=None, dimensions=[], name=String, sub_type=None) initialToString()",19,6,314.93,92.98
nikoo28-java-solutions,https://github.com/nikoo28/java-solutions.git,7a73ea56d05ff1f0fa085da259d02cb247b29db8,src/main/java/leetcode/medium/OnlineStockSpan.java,8d81307ea1651f3dffe2d9d620378c08f04463ee,calculateSpans,"public BasicType(dimensions=[None], name=int) calculateSpans(BasicType(dimensions=[None], name=int) prices)",17,5,288.85,95.27
YehiaFarghaly-database-engine,https://github.com/YehiaFarghaly/database-engine.git,acf65274fdb3a8432aa2c0d8759a47ed823a638e,src/main/java/app/DBApp.java,8314bfdec0aa431561d903d788ecdf31fd3c6c5c,createTable,"public createTable(ReferenceType(arguments=None, dimensions=[], name=String, sub_type=None) strTableName, ReferenceType(arguments=None, dimensions=[], name=String, sub_type=None) strClusteringKeyColumn, ReferenceType(arguments=[TypeArgument(pattern_type=None, type=ReferenceType(arguments=None, dimensions=[], name=String, sub_type=None)), TypeArgument(pattern_type=None, type=ReferenceType(arguments=None, dimensions=[], name=String, sub_type=None))], dimensions=[], name=Hashtable, sub_type=None) htblColNameType, ReferenceType(arguments=[TypeArgument(pattern_type=None, type=ReferenceType(arguments=None, dimensions=[], name=String, sub_type=None)), TypeArgument(pattern_type=None, type=ReferenceType(arguments=None, dimensions=[], name=String, sub_type=None))], dimensions=[], name=Hashtable, sub_type=None) htblColNameMin, ReferenceType(arguments=[TypeArgument(pattern_type=None, type=ReferenceType(arguments=None, dimensions=[], name=String, sub_type=None)), TypeArgument(pattern_type=None, type=ReferenceType(arguments=None, dimensions=[], name=String, sub_type=None))], dimensions=[], name=Hashtable, sub_type=None) htblColNameMax)",16,2,271.03,96.79
AuthMe-ConfigMe,https://github.com/AuthMe/ConfigMe.git,cab40d1c3c13c43455226d0324de62b288dab544,src/main/java/ch/jalu/configme/configurationdata/PropertyListBuilder.java,7bf10c51347958ead6d2d8d11e6077dbc35c980e,add,"public add(ReferenceType(arguments=[TypeArgument(pattern_type=?, type=None)], dimensions=[], name=Property, sub_type=None) property)",12,3,310.0,100.66
spring-projects-spring-guice,https://github.com/spring-projects/spring-guice.git,e133fee483ec614a6de0e977fbc6b685b2a99d24,src/main/java/org/springframework/guice/module/SpringModule.java,ce15b8e5802ad435ab296693ac84dd41d64106f1,getFactoryMethod,"static private ReferenceType(arguments=None, dimensions=[], name=Method, sub_type=None) getFactoryMethod(ReferenceType(arguments=None, dimensions=[], name=ConfigurableListableBeanFactory, sub_type=None) beanFactory, ReferenceType(arguments=None, dimensions=[], name=BeanDefinition, sub_type=None) definition)",13,3,204.46,101.53
fishercoder1534-Leetcode,https://github.com/fishercoder1534/Leetcode.git,24b7a6aecc4e431640a2b82a562199008a8bb896,src/main/java/com/fishercoder/solutions/_235.java,2110c6b023b7c5623b2603dae9979201f2b2c3ac,lowestCommonAncestor,"public ReferenceType(arguments=None, dimensions=[], name=TreeNode, sub_type=None) lowestCommonAncestor(ReferenceType(arguments=None, dimensions=[], name=TreeNode, sub_type=None) root, ReferenceType(arguments=None, dimensions=[], name=TreeNode, sub_type=None) p, ReferenceType(arguments=None, dimensions=[], name=TreeNode, sub_type=None) q)",12,6,199.25,102.8
revelc-formatter-maven-plugin,https://github.com/revelc/formatter-maven-plugin.git,a6994326aabd92963c25bfe2062ce346cf620ad5,src/main/java/net/revelc/code/formatter/css/CssFormatter.java,3e9843d2ab9946bcc3ce9930c033e6651affc312,doFormat,"protected ReferenceType(arguments=None, dimensions=[], name=String, sub_type=None) doFormat(ReferenceType(arguments=None, dimensions=[], name=String, sub_type=None) code, ReferenceType(arguments=None, dimensions=[], name=LineEnding, sub_type=None) ending)",11,2,195.04,104.57
TheAlgorithms-Java,https://github.com/TheAlgorithms/Java.git,4fab7adfaa3679d8b41360d169b40ee18b9ed735,src/main/java/com/thealgorithms/maths/Armstrong.java,a3a2d845d563a901946e052eeebba2f6e51e37d8,isArmstrong,"public BasicType(dimensions=[], name=boolean) isArmstrong(BasicType(dimensions=[], name=int) number)",10,2,118.54,108.71
ballerina-platform-lsp4intellij,https://github.com/ballerina-platform/lsp4intellij.git,e194fe9ff5f079b81dd9ba48520524d1757900ab,src/main/java/org/wso2/lsp4intellij/utils/FileUtils.java,8b03eddead47f04da18c51534a558654206eeae6,VFSToURI,"static public ReferenceType(arguments=None, dimensions=[], name=String, sub_type=None) VFSToURI(ReferenceType(arguments=None, dimensions=[], name=VirtualFile, sub_type=None) file)",8,2,89.21,113.8
st-tu-dresden-salespoint,https://github.com/st-tu-dresden/salespoint.git,e9c2fe5efee8ad76bf73738f46f911c18eb078b8,src/main/java/org/salespointframework/accountancy/PersistentAccountancy.java,85a764f892aaca4cfcb6749e55f3131a23cc8f66,add,"final public ReferenceType(arguments=None, dimensions=[], name=T, sub_type=None) add(ReferenceType(arguments=None, dimensions=[], name=T, sub_type=None) accountancyEntry)",7,2,94.01,115.69
mthmulders-mcs,https://github.com/mthmulders/mcs.git,7c8b5bc9c7f26865d6785e06051e73317c06af2c,src/main/java/it/mulders/mcs/search/printer/TabularOutputPrinter.java,eff905bef8d83a3ca49683eb3c246ab600f8fadc,printRow,"private printRow(ReferenceType(arguments=None, dimensions=[], name=Help, sub_type=ReferenceType(arguments=None, dimensions=None, name=TextTable, sub_type=None)) table, ReferenceType(arguments=None, dimensions=[], name=SearchResponse, sub_type=ReferenceType(arguments=None, dimensions=None, name=Response, sub_type=ReferenceType(arguments=None, dimensions=None, name=Doc, sub_type=None))) doc)",6,1,115.95,117.26
Moderocky-ByteSkript,https://github.com/Moderocky/ByteSkript.git,65ea545567a680bc0062572f48500d9e061e1b35,src/main/java/org/byteskript/skript/compiler/DebugSkriptCompiler.java,1dce2997df7f55536293234a04b666de3d6b2a85,compile,"public ReferenceType(arguments=None, dimensions=[None], name=PostCompileClass, sub_type=None) compile(ReferenceType(arguments=None, dimensions=[], name=InputStream, sub_type=None) stream, ReferenceType(arguments=None, dimensions=[], name=Type, sub_type=None) path)",6,1,78.87,119.26
awslabs-aws-java-nio-spi-for-s3,https://github.com/awslabs/aws-java-nio-spi-for-s3.git,890fdddf3049695ce0e9ea1f44f6e067e316d33b,src/main/java/software/amazon/nio/spi/s3/S3Path.java,8ae86f85f32877e8eb8230582cae7a058b251879,toUri,"public ReferenceType(arguments=None, dimensions=[], name=URI, sub_type=None) toUri()",6,1,59.21,120.75
bhlangonijr-chesslib,https://github.com/bhlangonijr/chesslib.git,97526078581d438edc5795d43dcd26633eb035c0,src/main/java/com/github/bhlangonijr/chesslib/pgn/GameLoader.java,cf68677eac6d6a84c8ef286aadbddf11d3155e4c,addMoveText,"static private addMoveText(ReferenceType(arguments=None, dimensions=[], name=String, sub_type=None) line, ReferenceType(arguments=None, dimensions=[], name=PgnTempContainer, sub_type=None) container)",5,1,64.53,123.26
klausbrunner-solarpositioning,https://github.com/klausbrunner/solarpositioning.git,2756287e64dacf48eea353e035e544ba21176558,src/main/java/net/e175/klaus/solarpositioning/Grena3.java,79c0044373b483e625b42fa8513000cb719651b9,calculateSolarPosition,"static public ReferenceType(arguments=None, dimensions=[], name=AzimuthZenithAngle, sub_type=None) calculateSolarPosition(ReferenceType(arguments=None, dimensions=[], name=ZonedDateTime, sub_type=None) date, BasicType(dimensions=[], name=double) latitude, BasicType(dimensions=[], name=double) longitude, BasicType(dimensions=[], name=double) deltaT)",4,1,56.47,127.57
wmixvideo-nfe,https://github.com/wmixvideo/nfe.git,ec5ddf7e7342c50740918957f579a9f3b16c7db6,src/main/java/com/fincatto/documentofiscal/mdfe3/classes/nota/MDFInfoModalRodoviarioVeiculoReboque.java,67518e14db7e1c5b910cadb3bd902e99b79bec4c,setPlaca,"public setPlaca(ReferenceType(arguments=None, dimensions=[], name=String, sub_type=None) placa)",4,1,33.0,130.36
vmzakharov-dataframe-ec,https://github.com/vmzakharov/dataframe-ec.git,d11d1fdeaa72b654f50bd23ec5056f218b1e30b7,src/main/java/io/github/vmzakharov/ecdataframe/dataframe/compare/ComparisonResult.java,e9eb4dbe0e703e13f8597be61fde10e604de127d,nullSide,"public ReferenceType(arguments=None, dimensions=[], name=NullSide, sub_type=None) nullSide()",4,1,6.34,138.94
