project,repo_url,bug_commit_hash,bug_file_path,fix_commit_hash,method_name,method_signature,loc,cyclomatic_complexity,halstead_volume,maintainability_index
traccar-traccar,https://github.com/traccar/traccar.git,03650fff8064b60ffcda75f9033fd44e66ef34b3,src/main/java/org/traccar/protocol/HuabaoProtocolDecoder.java,4a64ef748e207406be4f7aa7538d59b7b0f9735c,decodeLocation,"private ReferenceType(arguments=None, dimensions=[], name=Position, sub_type=None) decodeLocation(ReferenceType(arguments=None, dimensions=[], name=DeviceSession, sub_type=None) deviceSession, ReferenceType(arguments=None, dimensions=[], name=ByteBuf, sub_type=None) buf)",295,25,6750.84,32.28
BrightSpots-rcv,https://github.com/BrightSpots/rcv.git,833ebaf06efe617091a4d5b9a2812aaae8dc73c8,src/main/java/network/brightspots/rcv/ResultsWriter.java,c80e6272c83a67999bce67e3a5c9b5a9120fe2c2,generateSummarySpreadsheet,"private generateSummarySpreadsheet(ReferenceType(arguments=[TypeArgument(pattern_type=None, type=ReferenceType(arguments=None, dimensions=[], name=Integer, sub_type=None)), TypeArgument(pattern_type=None, type=ReferenceType(arguments=None, dimensions=[], name=RoundTally, sub_type=None))], dimensions=[], name=Map, sub_type=None) roundTallies, ReferenceType(arguments=None, dimensions=[], name=String, sub_type=None) precinct, ReferenceType(arguments=None, dimensions=[], name=String, sub_type=None) outputPath)",135,22,3299.03,48.7
snowflakedb-snowflake-jdbc,https://github.com/snowflakedb/snowflake-jdbc.git,832de67a1eec16a61df4ab1efcc6e3658d5a038a,src/main/java/net/snowflake/client/jdbc/SnowflakeFileTransferAgent.java,15a45aca6bcd42e354ee6cb6ccd822b75647351d,parseCommand,private parseCommand(),104,19,2356.45,54.71
semver4j-semver4j,https://github.com/semver4j/semver4j.git,48ffbfd1f66c78c43599e64ac3068038caba1766,src/main/java/org/semver4j/internal/range/processor/XRangeProcessor.java,beb7e5d466c708721740f6fe99ca33ca9f4ed9ea,process,"public ReferenceType(arguments=None, dimensions=[], name=String, sub_type=None) process(ReferenceType(arguments=None, dimensions=[], name=String, sub_type=None) range)",59,15,1329.48,66.92
dmak-jaxb-xew-plugin,https://github.com/dmak/jaxb-xew-plugin.git,f2320aaa24d70d087ff24edc326912ac22d1acb8,src/main/java/com/sun/tools/xjc/addon/xew/XmlElementWrapperPlugin.java,f48935133d6ad30ad31613fca3b64db50f77fd26,moveClassLevelUp,"private moveClassLevelUp(ReferenceType(arguments=None, dimensions=[], name=Outline, sub_type=None) outline, ReferenceType(arguments=None, dimensions=[], name=JDefinedClass, sub_type=None) clazz)",30,6,815.15,80.63
w3c-epubcheck,https://github.com/w3c/epubcheck.git,da643e4010befdc6ba1fd8cf4bff5e8cee912bc5,src/main/java/org/w3c/epubcheck/core/references/ResourceReferencesChecker.java,7804c78a53f25d98de9457e12d2bdbd4b40e682b,checkReference,"private checkReference(ReferenceType(arguments=None, dimensions=[], name=Reference, sub_type=None) reference)",22,4,262.33,91.64
fishercoder1534-Leetcode,https://github.com/fishercoder1534/Leetcode.git,24b7a6aecc4e431640a2b82a562199008a8bb896,src/main/java/com/fishercoder/solutions/_235.java,2110c6b023b7c5623b2603dae9979201f2b2c3ac,lowestCommonAncestor,"public ReferenceType(arguments=None, dimensions=[], name=TreeNode, sub_type=None) lowestCommonAncestor(ReferenceType(arguments=None, dimensions=[], name=TreeNode, sub_type=None) root, ReferenceType(arguments=None, dimensions=[], name=TreeNode, sub_type=None) p, ReferenceType(arguments=None, dimensions=[], name=TreeNode, sub_type=None) q)",12,6,199.25,102.8
st-tu-dresden-salespoint,https://github.com/st-tu-dresden/salespoint.git,e9c2fe5efee8ad76bf73738f46f911c18eb078b8,src/main/java/org/salespointframework/accountancy/PersistentAccountancy.java,85a764f892aaca4cfcb6749e55f3131a23cc8f66,add,"final public ReferenceType(arguments=None, dimensions=[], name=T, sub_type=None) add(ReferenceType(arguments=None, dimensions=[], name=T, sub_type=None) accountancyEntry)",7,2,94.01,115.69
klausbrunner-solarpositioning,https://github.com/klausbrunner/solarpositioning.git,2756287e64dacf48eea353e035e544ba21176558,src/main/java/net/e175/klaus/solarpositioning/Grena3.java,79c0044373b483e625b42fa8513000cb719651b9,calculateSolarPosition,"static public ReferenceType(arguments=None, dimensions=[], name=AzimuthZenithAngle, sub_type=None) calculateSolarPosition(ReferenceType(arguments=None, dimensions=[], name=ZonedDateTime, sub_type=None) date, BasicType(dimensions=[], name=double) latitude, BasicType(dimensions=[], name=double) longitude, BasicType(dimensions=[], name=double) deltaT)",4,1,56.47,127.57
vmzakharov-dataframe-ec,https://github.com/vmzakharov/dataframe-ec.git,d11d1fdeaa72b654f50bd23ec5056f218b1e30b7,src/main/java/io/github/vmzakharov/ecdataframe/dataframe/compare/ComparisonResult.java,e9eb4dbe0e703e13f8597be61fde10e604de127d,nullSide,"public ReferenceType(arguments=None, dimensions=[], name=NullSide, sub_type=None) nullSide()",4,1,6.34,138.94
